source,target,weight
TG 40:1,TG 42:0,0.8342143117014426
TG 38:1,TG 46:2,0.8342490769880647
DG 52:9,PC O-41:5,0.8344183306680552
TG 41:1,TG 48:3,0.8345186933056266
TG 42:2,TG 46:1,0.8346159463446703
TG 40:1,TG 46:1,0.8347654822175019
TG 38:1,TG 40:3,0.8347895779082897
TG 52:3,TG 54:5,0.8348001401106799
FA 17:1,FA 19:0,0.8349462379661797
FA 16:0,FA 20:3,0.8349873714858337
TG 58:2,TG 62:3,0.8350289290771414
TG 42:4,TG 50:5,0.83523538681623
TG 50:2,TG 51:3,0.8353938514587632
TG 44:3,TG 50:6,0.8353952017787485
DG 47:6.1,DG 47:8,0.8354436620168942
TG 40:3,TG 50:6,0.8355263551900738
TG 42:3,TG 46:4,0.8355461270995609
TG 52:4,TG 52:6,0.8356106003261445
TG 36:1,TG 38:2,0.8356851792315796
SM 34:1;O2,SM 36:3;O2,0.8357832639657361
TG 40:1,TG 46:2,0.8358451214460118
TG 50:1,TG 54:1,0.8359530732746243
TG 41:1,TG 44:1,0.835962154243599
TG 38:1,TG 46:3,0.835995274790638
FA 18:2,FA 22:5,0.8360078846043362
CAR 16:0,CAR 18:1,0.8360761787520401
TG 58:8,TG 58:9,0.8360849213748713
TG 54:1,TG 55:2,0.8361507489711716
FA 22:2,FA 24:5,0.8362343970385926
FA 16:3,FA 24:5,0.8363989062070064
FA 18:1,FA 22:5,0.8364214398097087
PC O-40:6,PC O-44:7,0.8364647570454757
TG 46:1,TG 48:4,0.836484051701109
FA 22:3;O2,FAHFA 24:3;O,0.8365839212624467
TG 58:7,TG 58:9,0.8366014679823087
DG 51:11,TG 46:3,0.8366038130015228
FA 18:2,FA 22:6,0.8366333241540072
FA 14:0,FA 20:3,0.836711091914597
TG 42:3,TG 46:3,0.8367551686388378
PC 40:5.1,PE P-42:6,0.8370259294383819
PE 34:2,PE 36:4,0.8371001660007195
TG 50:4,TG 54:6,0.8373450468806765
TG 45:3,TG 48:5,0.8373893431502599
DG 51:11,TG 40:2,0.837520392551847
DG 49:8,TG 46:2,0.8375997742667695
FA 19:1,FA 20:1,0.8379821147751582
TG 40:0,TG 46:1,0.8380580398140538
FA 20:2,FA 24:5,0.8382141721979046
TG 54:1,TG 58:2,0.8382859146278592
TG 54:2,TG 56:4,0.8383014030449898
TG 54:7;O,TG 56:8;O,0.8383277244223651
DG 47:8,TG 42:3,0.8384939183868161
PE O-36:4,SM 35:4;O2,0.8386716952993057
PC O-32:3,SM 40:2;O2,0.8386762095405301
FA 16:3,FA 20:2,0.838723123647891
TG 54:1,TG 54:3,0.8388338421480906
TG 47:3,TG 50:6,0.8390111240231521
TG 40:3,TG 42:1,0.8391098583638594
TG 45:3,TG 48:4,0.839150211500154
TG 47:3,TG 51:4,0.8392246621290194
TG 48:4,TG 52:7,0.8392259896259234
DG 31:0,DG 31:1,0.8392540167930932
TG 42:1,TG 44:0,0.8392564938415101
TG 58:4,TG 60:6,0.8392859697761383
TG 46:0,TG 48:0,0.83942309759561
TG 54:9,TG 56:8,0.8395418455075301
DG 47:6.1,TG 36:0,0.8396715532001241
PE O-36:2,PE O-36:3,0.8399770182311973
FA 18:0,FA 20:2,0.8400229449923371
TG 46:3,TG 50:3,0.8400760129011814
TG 54:2,TG 55:2,0.8402629162956741
TG 47:4,TG 51:4,0.8405700366538723
FA 16:0,FA 16:1,0.8405848680042152
TG 50:7,TG 52:7,0.8406125354777856
PC O-37:9,PE O-36:5,0.8406375477197383
TG 56:7,TG 58:6,0.8407059497878381
TG 54:1,TG 55:1,0.8408168927459302
PE 34:2,PE 36:3,0.8408712844306829
DG 25:1,DG 27:0,0.8409740634411694
FA 16:0,FA 17:1,0.8412402567092394
FA 16:2,FA 18:1,0.8415364201439681
TG 51:4,TG 52:6,0.8416137211373317
NAGly 39:5;O2,TG 50:7,0.8418042222730981
TG 48:0,TG 49:0,0.8418501921578093
TG 60:11,TG 60:13,0.8418678545859439
