Sample_Name	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Sphingobacteriia	Candidatus_Saccharibacteria_unclassified	Deinococci	Bacilli	Clostridia	Erysipelotrichia	Firmicutes_unclassified	Negativicutes	Tissierellia	Fusobacteriia	Lentisphaerae_unclassified	Lentisphaeria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Proteobacteria_unclassified	Spirochaetia	Synergistia	Mollicutes	Verrucomicrobiae	Conoidasida	Saccharomycetes	Tremellomycetes	Eukaryota_unclassified
LCC11191001	0.0	0.3291667504263744	0.026641387736838693	0.0	0.46692171622691064	0.0	0.0	0.0	0.009990657917252605	0.023043970796215275	0.0	0.0	0.08006367938044019	0.0	0.0003074356317897244	0.0	0.0	0.0	0.009563908456990164	0.0	0.05092200186001557	0.0033784915671726335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11531001	0.0	0.4706727192651606	0.006762646202959003	0.0	0.10352295544198879	0.0	0.0	0.0	0.08062283069277289	0.0365368599227054	0.0012313263902030587	0.0	0.03618030368810898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023963327145548607	0.24050703125055256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11221001	0.0	0.28129964697488197	0.0073883013819453685	0.0	0.4418153734133756	0.0	0.0	0.0	0.09869956358249066	0.023339450511865385	0.0005113344125054104	0.000756482395930323	0.02109655183883028	0.0	0.00017251525437584578	0.0	0.0	0.0	0.02726201861281306	1.663039037537029e-05	0.0111629992648566	0.08647913196575424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11201001	0.0	0.4056182348874399	0.006793113375458887	0.0	0.24561064892546217	0.0	0.0	0.0	0.0007479842565021767	0.0483916079507606	0.0011401007398939636	0.0	0.06459646254615142	0.0	0.0	0.0	0.0	0.0	0.2150293456950191	0.0	0.0	0.01207250162331181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11281001	0.0	0.19903791153474346	0.0	0.0	0.02310655199875782	0.0	0.0	0.0	0.34384935561911145	0.07822708854038837	0.008670416581099826	0.0	0.2530304684721686	3.59631152672921e-05	0.0	0.0	0.0	0.0	1.0318108280030972e-05	0.0009070919463658707	0.0	0.09312483408381708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11151001	0.0	0.422190633331135	0.00028081732452745053	0.0	0.32252680349322344	0.0	0.0	0.0	0.019524810250652988	0.003932543395333648	0.0029735011925729323	0.0	0.0695853521039933	0.0	0.0	0.0	0.0	0.0	0.0007328671658996881	0.0	0.0003388622454917859	0.15791380949716985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11041001	0.0	0.053343763771396054	0.0014124329126894866	0.0	0.7579672295947132	0.0	0.0	0.0	0.07769982417652369	0.04616800004724123	0.00011369924807364321	0.0	0.009973205611177996	0.0	0.0	0.0	0.0	0.0	0.018583121206501154	0.0	0.031204838703704458	0.003533884727979052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11071001	0.0	0.023353187331083946	0.0011338978246195643	0.0	0.5407157955364501	0.0	0.0	0.0	0.00835342481172292	0.15215528991879085	0.00040677948865275895	0.0010156775357298563	0.05492678720359554	0.0	0.0	0.0	0.0	4.298919595989364e-05	0.0	0.00032727258859790136	5.616330439921567e-05	0.21664382191517556	0.0	0.0	0.0	0.0	0.0	0.0	0.0008689133452216178	0.0	0.0
LCC11461001	0.0	0.141182425594257	0.004293560522243875	0.0	0.5481708187810383	0.0	0.0	0.0	0.016661142288806448	0.0058168036019947186	0.0003528376486200638	0.0	0.24276665258728045	0.0	2.980454540391318e-05	0.0	0.0	0.0	0.01758588601236558	0.0	0.0013557555838615107	0.02178431283412828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11131001	0.0	0.28136568436525844	0.0066355088859097605	0.0	0.48962122578546946	0.0	0.0	0.0	0.0944495113602453	0.030143297180664004	6.712538010621695e-05	0.008672779177807127	0.042852002342085534	0.0	0.0	0.0	0.0	0.0	7.142700655117595e-05	0.0014536496249231826	0.01547355054946275	0.02915282268225616	0.0	0.0	4.141565926076622e-05	0.0	0.0	0.0	0.0	0.0	0.0
LCC10891001	0.0	0.13573628958696732	0.007823676967146217	0.0	0.7493938933252253	0.0	0.0	0.0	0.05117500680119702	0.0038124709948951013	0.0	0.0	0.03479482388900446	0.0	0.0	0.0	0.0	0.0	0.006610863511978109	0.0	0.0	0.009237725839747796	0.0	0.0	0.0	0.0	0.0	0.001415249083838755	0.0	0.0	0.0
LCC10921001	0.0	0.32734642984700174	0.0057306197949998	0.0	0.16049441585613114	0.0	0.0	0.0	0.0887576834944411	0.06374877808861783	0.0004951382031641158	0.0	0.06847531190165883	0.0	0.0	0.0	0.0	0.0	0.02767427153308243	0.0	0.0	0.24719140378703416	0.0	0.010085947493868902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11001001	0.0	0.2546638825208393	0.0	0.0	0.0	0.0	0.0	0.0	0.49069718589312994	0.0	0.0	0.0	0.00640999973704404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2482289318489868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10951001	0.0	0.38029673288643473	0.00474593194033222	0.0	0.2568159943112897	0.0	0.0	0.0	0.15395522864027747	0.0	0.0	0.0	0.036894714703908406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045226528638144767	0.166839132231376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
