Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
J124	24285954.0	24285954.0	23837054.0	23837054.0	204285.0	207645.0	23254752.0	23254752.0	310694.0	310411.0	23254752.0	23254752.0	310694.0	310411.0
J125	23291293.0	23291293.0	22826520.0	22826520.0	210823.0	216051.0	17007535.0	17007535.0	185303.0	200993.0	17007535.0	17007535.0	185303.0	200993.0
J126	24455541.0	24455541.0	24036007.0	24036007.0	183434.0	200388.0	23478128.0	23478128.0	242624.0	256306.0	23478128.0	23478128.0	242624.0	256306.0
J127	23906083.0	23906083.0	23422811.0	23422811.0	221301.0	216573.0	22727513.0	22727513.0	305197.0	297178.0	22727513.0	22727513.0	305197.0	297178.0
J128	22697828.0	22697828.0	22268028.0	22268028.0	211607.0	180861.0	21501654.0	21501654.0	351727.0	318833.0	21501654.0	21501654.0	351727.0	318833.0
J129	23115831.0	23115831.0	22669605.0	22669605.0	192485.0	214086.0	21951599.0	21951599.0	308102.0	325267.0	21951599.0	21951599.0	308102.0	325267.0
J13	20695047.0	20695047.0	20354615.0	20354615.0	185072.0	122161.0	18492306.0	18492306.0	270823.0	211897.0	18492306.0	18492306.0	270823.0	211897.0
J130	23445929.0	23445929.0	22778582.0	22778582.0	394206.0	214399.0	5938228.0	5938228.0	98646.0	67188.0	5938228.0	5938228.0	98646.0	67188.0
J131	23502300.0	23502300.0	23032447.0	23032447.0	261458.0	166708.0	22266761.0	22266761.0	389034.0	294215.0	22266761.0	22266761.0	389034.0	294215.0
J132	20653962.0	20653962.0	20070967.0	20070967.0	320535.0	196664.0	19481965.0	19481965.0	417619.0	290597.0	19481965.0	19481965.0	417619.0	290597.0
J133	22764107.0	22764107.0	22315080.0	22315080.0	244945.0	162739.0	20768167.0	20768167.0	393725.0	316302.0	20768167.0	20768167.0	393725.0	316302.0
J134	24046921.0	24046921.0	23454748.0	23454748.0	283987.0	247981.0	23020124.0	23020124.0	310046.0	270760.0	23020124.0	23020124.0	310046.0	270760.0
J137	24321457.0	24321457.0	23887495.0	23887495.0	190643.0	209272.0	23429305.0	23429305.0	222938.0	237947.0	23429305.0	23429305.0	222938.0	237947.0
J14	20207473.0	20207473.0	19855741.0	19855741.0	203084.0	110032.0	19240186.0	19240186.0	373023.0	277852.0	19240186.0	19240186.0	373023.0	277852.0
J15	20817555.0	20817555.0	20457723.0	20457723.0	208886.0	112988.0	19919494.0	19919494.0	355807.0	257361.0	19919494.0	19919494.0	355807.0	257361.0
J16	21018385.0	21018385.0	20603709.0	20603709.0	231647.0	142955.0	12628771.0	12628771.0	163969.0	110471.0	12628771.0	12628771.0	163969.0	110471.0
J17	22151891.0	22151891.0	21773159.0	21773159.0	221212.0	116117.0	21272976.0	21272976.0	346013.0	239351.0	21272976.0	21272976.0	346013.0	239351.0
J18	22498076.0	22498076.0	22081996.0	22081996.0	247948.0	122900.0	21714688.0	21714688.0	324056.0	197263.0	21714688.0	21714688.0	324056.0	197263.0
J19	20720459.0	20720459.0	20342855.0	20342855.0	221430.0	115783.0	20012437.0	20012437.0	272635.0	164766.0	20012437.0	20012437.0	272635.0	164766.0
J2	23085332.0	23085332.0	22672509.0	22672509.0	254247.0	118722.0	22247475.0	22247475.0	361534.0	223573.0	22247475.0	22247475.0	361534.0	223573.0
J20	23349935.0	23349935.0	22937362.0	22937362.0	248904.0	125922.0	22117341.0	22117341.0	431580.0	309418.0	22117341.0	22117341.0	431580.0	309418.0
J21	19759842.0	19759842.0	19397425.0	19397425.0	205018.0	120464.0	16158939.0	16158939.0	210645.0	139574.0	16158939.0	16158939.0	210645.0	139574.0
J22	22361285.0	22361285.0	22018898.0	22018898.0	185262.0	123055.0	21443028.0	21443028.0	229790.0	164458.0	21443028.0	21443028.0	229790.0	164458.0
J23	20482772.0	20482772.0	20021659.0	20021659.0	267538.0	152948.0	6111758.0	6111758.0	91133.0	61555.0	6111758.0	6111758.0	91133.0	61555.0
J24	21115955.0	21115955.0	20752132.0	20752132.0	209346.0	112414.0	20099442.0	20099442.0	387027.0	287099.0	20099442.0	20099442.0	387027.0	287099.0
